-214,0,-43,-4,-7,80,162,29,-142,-224
15,-307,-140,-87,-167,-66,0,287,230,86
112,-431,-202,-148,-321,-213,-189,473,352,190
-419,1530,513,446,964,935,913,-783,-710,-616
451,-626,-363,-297,-702,-615,-632,1027,930,692
-635,1508,607,542,1221,1200,1138,-1242,-1087,-924
311,-626,-348,-292,-545,-412,-355,786,660,450
-591,1610,627,542,1221,1200,1138,-1257,-1070,-852
177,-481,-215,-174,-352,-296,-222,583,452,274
-473,1405,547,513,1167,1089,1017,-943,-825,-706
297,-527,-249,-203,-447,-357,-315,783,620,432
-538,1458,595,542,1221,1200,1138,-1164,-945,-776
276,-474,-238,-187,-429,-352,-308,725,587,424
-509,1523,607,542,1221,1200,1048,-1094,-940,-768
236,-471,-228,-187,-406,-338,-294,693,565,368
-490,1464,551,542,1221,1191,1129,-1016,-880,-714
181,-474,-218,-181,-396,-305,-245,609,470,288
-474,1418,548,528,1069,1087,1028,-940,-822,-694
303,-536,-250,-205,-470,-357,-315,740,617,438
-573,1446,583,542,1221,1200,1129,-1109,-972,-816
278,-502,-224,-203,-411,-331,-290,711,597,394
-506,1585,594,542,1221,1193,1138,-1080,-937,-778
240,-462,-223,-174,-416,-333,-285,685,552,362
-491,1579,576,504,1221,1181,1113,-1013,-872,-720
182,-446,-218,-176,-390,-296,-236,609,455,278
-483,1526,561,496,1172,1101,1026,-958,-827,-716
288,-512,-242,-205,-421,-338,-294,717,590,418
-508,1595,626,542,1221,1200,1138,-1094,-935,-816
271,-512,-230,-186,-398,-338,-308,720,597,412
-494,1557,579,542,1221,1072,1120,-1111,-927,-734
222,-468,-209,-178,-419,-331,-283,673,537,354
-481,1520,619,531,1216,1030,1064,-1007,-842,-696
163,-459,-215,-174,-385,-286,-234,592,437,244
-463,1371,537,515,1152,1075,994,-926,-807,-694
342,-626,-356,-288,-563,-532,-481,920,765,508
-603,1610,645,542,1221,1200,1138,-1219,-1097,-840
236,-450,-212,-165,-396,-310,-270,676,557,372
-497,1682,608,542,1221,1200,1134,-1103,-917,-742
210,-456,-220,-181,-380,-310,-267,653,525,334
-487,1551,580,542,1172,1143,1073,-1007,-820,-716
156,-437,-212,-157,-362,-279,-213,563,472,248
-465,1384,551,516,1128,1065,990,-902,-810,-690
336,-626,-268,-276,-612,-532,-468,926,747,500
-613,1607,645,542,1221,1200,1138,-1152,-995,-880
315,-626,-342,-275,-619,-362,-389,789,665,470
-585,1523,597,542,1221,1200,1138,-1170,-1052,-928
216,-425,-214,-181,-393,-317,-267,630,510,326
-486,1564,532,523,1216,1146,1048,-1004,-832,-714
155,-443,-214,-181,-362,-270,-204,551,422,230
-472,1520,567,502,1134,1063,994,-943,-842,-706
329,-626,-319,-252,-630,-537,-425,920,735,496
-625,1548,600,542,1221,1200,1138,-1289,-977,-878
333,-626,-344,-276,-609,-442,-382,780,657,462
-635,1595,645,541,1221,1200,1138,-1193,-1027,-884
202,-465,-221,-201,-414,-322,-265,632,512,318
-487,1464,602,494,1190,1170,1057,-990,-812,-708
300,-577,-248,-205,-460,-367,-310,734,615,432
-581,1446,617,542,1221,1200,1138,-1140,-945,-814
270,-477,-228,-177,-398,-317,-301,690,575,398
-553,1430,583,542,1221,1113,1138,-1132,-927,-754
228,-434,-225,-181,-414,-312,-285,693,567,372
-481,1592,536,540,1221,1177,1138,-1111,-865,-736
198,-453,-220,-178,-406,-300,-261,635,497,296
-477,1405,584,534,1221,1117,1039,-969,-800,-700
300,-577,-256,-202,-468,-364,-310,728,627,432
-560,1545,590,542,1221,1200,1138,-1196,-880,-794
272,-487,-220,-175,-396,-315,-267,679,572,370
-492,1455,594,542,1221,1200,1138,-1149,-977,-704
232,-459,-223,-181,-408,-329,-276,685,565,376
-480,1592,645,463,1216,1129,1134,-990,-870,-734
328,-626,-333,-252,-540,-421,-387,807,667,472
-587,1477,595,542,1221,1200,1138,-1207,-1055,-914
131,-431,-206,-163,-372,-253,-180,519,400,224
-463,1520,550,504,1116,1025,978,-920,-790,-672
346,-626,-324,-275,-509,-518,-465,963,715,482
-607,1610,633,542,1221,1200,1138,-1219,-1100,-1008
27,-313,-125,-94,-174,-71,-4,284,212,130
-635,937,396,393,1015,1032,1068,-1140,-1065,-922
476,-626,-361,-302,-714,-615,-524,1050,925,694
-607,1620,645,542,1221,1200,1138,-1286,-1202,-844
378,-626,-344,-296,-671,-540,-483,905,812,596
-609,1613,645,541,1221,1200,1138,-1158,-1030,-880
292,-527,-235,-191,-432,-350,-308,711,610,426
-531,1498,581,542,1221,1198,1138,-978,-960,-806
315,-626,-335,-283,-627,-473,-387,786,660,466
-614,1548,603,542,1221,1200,1138,-1289,-1105,-880
204,-450,-220,-176,-406,-329,-265,650,512,324
-484,1356,557,525,1221,1179,1053,-1007,-812,-706
152,-443,-215,-172,-378,-274,-207,566,417,252
-458,1297,472,462,1193,1065,978,-920,-802,-680
